subj_idx,stim,response,rt,condition,MotCon,pupil,baseline
2,0.0,1,1.1490,-1,-1,0.105,0.179
2,0.0,1,1.3753,-1,-1,0.500,-0.214
2,1.5,1,0.8116,-1,-1,0.193,0.554
2,-0.5,0,1.4384,-1,1,0.760,-0.413
2,0.0,1,1.5903,-1,-1,-0.007,0.771
2,0.0,0,1.4779,-1,1,-0.040,0.635
2,0.0,1,1.4933,-1,-1,-0.452,1.777
2,-0.5,0,0.8218,-1,1,0.236,-0.043
2,0.5,1,0.9056,-1,-1,-0.246,0.976
2,0.0,1,1.8860,-1,-1,0.492,-0.010
2,0.0,1,1.7591,-1,-1,0.100,-0.100
2,1.5,1,0.8181,-1,-1,0.201,0.342
2,0.0,0,0.7801,-1,1,-0.209,1.248
2,0.0,0,1.0866,-1,1,0.075,0.206
2,0.0,1,0.7273,-1,-1,0.302,-0.531
2,0.0,1,1.0970,0,0,0.140,0.610
2,0.5,1,1.5478,0,0,0.555,-0.136
2,0.0,1,1.7263,0,0,0.003,-0.017
2,0.0,0,2.0764,0,0,0.370,0.304
2,-0.5,1,1.2376,0,0,-0.359,1.099
2,0.0,1,1.7467,0,0,0.679,-1.044
2,0.0,0,0.8956,0,0,0.446,-0.708
2,0.0,0,0.7069,0,0,-0.171,0.483
2,0.0,0,1.2098,0,0,-0.271,0.458
2,0.0,0,1.5303,0,0,0.244,-0.439
2,0.0,1,2.8287,0,0,0.673,-0.496
2,0.0,0,1.1305,0,0,-0.172,0.712
2,-1.5,0,0.6856,0,0,0.071,-0.091
2,0.5,1,0.7319,0,0,0.221,-0.742
2,0.0,0,0.9183,0,0,0.058,-0.325
2,0.0,0,1.4016,0,0,-0.283,-0.249
2,1.5,1,0.6807,0,0,0.063,-0.158
2,0.0,0,1.6070,0,0,0.386,-0.818
2,1.5,1,0.8362,0,0,0.305,-1.223
2,0.0,0,0.8705,0,0,-0.196,-1.218
2,-1.5,0,0.8584,0,0,0.017,-0.176
2,-0.5,0,0.8392,0,0,-0.476,-0.273
2,-0.5,0,1.0623,0,0,-0.137,0.159
2,0.0,1,1.6867,0,0,0.073,0.085
2,0.0,0,1.8349,0,0,0.085,-0.102
2,0.0,0,0.9876,1,-1,-0.162,0.098
2,-0.5,0,0.8094,1,-1,0.346,-1.160
2,0.0,0,1.5816,1,-1,0.679,-0.899
2,0.0,0,1.8241,1,-1,-0.048,0.189
2,-0.5,0,1.3211,1,-1,-0.106,0.209
2,0.0,1,1.5805,1,1,0.165,-0.588
2,0.0,0,1.0052,1,-1,-0.084,0.554
2,0.0,0,1.4035,1,-1,-0.246,-0.177
2,1.5,1,0.7376,1,1,-0.004,-0.108
2,-1.5,0,0.6976,1,-1,0.136,-0.096
2,0.0,1,1.5716,1,1,0.186,-0.371
2,0.0,0,1.2287,1,-1,-0.083,-0.794
2,0.0,1,0.8836,1,1,-0.048,-0.727
2,0.5,1,0.7140,1,1,-0.029,-0.765
2,1.5,1,1.5700,1,1,0.045,0.861
2,0.0,1,1.0708,1,1,0.257,-0.647
